Company,Position,Name,Linkedin,Company Website
Farfetch Limited,,N/A,N/A,https://www.farfetchinvestors.com/
Farfetch Limited,,N/A,N/A,https://www.farfetchinvestors.com/
Farfetch Limited,,N/A,N/A,https://www.farfetchinvestors.com/
"Fidelity National Information Services, Inc.","Corporate EVP and COO, Institutional and Wholesale",Marianne C. Brown,https://www.linkedin.com/in/brownmarianne,https://www.fisglobal.com
"Fidelity National Information Services, Inc.",Chairman,Frank R. Martire,https://www.linkedin.com/in/frank-martire-0a19b3b,https://www.fisglobal.com
"Fidelity National Information Services, Inc.",President and CEO,Gary A. Norcross,https://www.linkedin.com/in/gary-norcross-20667740,https://www.fisglobal.com
"Finjan Holdings, Inc.",,N/A,N/A,https://www.finjan.com/
"Finjan Holdings, Inc.",,N/A,N/A,https://www.finjan.com/
"Finjan Holdings, Inc.",,N/A,N/A,https://www.finjan.com/
First Data Corporation,Chairman and CEO,Frank J. Bisignano,https://www.linkedin.com/in/frankbisignano,https://www.firstdatacorp.com
First Data Corporation,President,Guy Chiarello,https://www.linkedin.com/in/guychiarello,https://www.firstdatacorp.com
First Data Corporation,Vice Chairman,Joseph J. Plumeri,https://www.linkedin.com/in/joe-plumeri-232362114,https://www.firstdatacorp.com
"FleetCor Technologies, Inc.",Chairman and CEO,Ronald F. Clarke,https://www.linkedin.com/in/ronald-clarke,https://www.fleetcor.com
"FleetCor Technologies, Inc.",CFO,Eric R. Dey,https://www.linkedin.com/in/eric-dey-1b747232,https://www.fleetcor.com
"FleetCor Technologies, Inc.",CIO,John A. Reed,https://www.linkedin.com/in/john-reed-1b37594,https://www.fleetcor.com
"FuelCell Energy, Inc.","President, CEO, and Director",Arthur Bottone,N/A,https://www.fuelcellenergy.com
"FuelCell Energy, Inc.",SVP and COO,Anthony F. Rauseo,https://www.linkedin.com/in/anthony-rauseo-5a8b923,https://www.fuelcellenergy.com
"FuelCell Energy, Inc.",Chairman,John A. Rolls,https://www.linkedin.com/in/john-rolls-82458612,https://www.fuelcellenergy.com
Global Payments Inc.,Chairman,William I. Jacobs,N/A,https://www.globalpaymentsinc.com
Global Payments Inc.,President and COO,David E. Mangum,https://www.linkedin.com/in/mangumdavid,https://www.globalpaymentsinc.com
Global Payments Inc.,CEO,Jeffrey S. Sloan,https://www.linkedin.com/in/jeff-sloan-996a05163,https://www.globalpaymentsinc.com
"GoPro, Inc.",President and Director,Anthony J. Bates,N/A,https://www.gopro.com
"GoPro, Inc.",SVP Operations,Ronald LaValley,https://www.linkedin.com/in/ron-lavalley-5452879,https://www.gopro.com
"GoPro, Inc.",Chairman and CEO,Nicholas Woodman,https://www.linkedin.com/in/nicholas-woodman-73635121,https://www.gopro.com
"GRAVITY Co., Ltd.",President,Hyeon Cheol Park,N/A,https://www.gravity.co.kr
"GRAVITY Co., Ltd.",,N/A,N/A,https://www.gravity.co.kr
"GRAVITY Co., Ltd.",,N/A,N/A,https://www.gravity.co.kr
"GreenSky, Inc.",Pres Home Improvement,Chris Forshay,https://www.linkedin.com/in/christopher-forshay-4baa453,N/A
"GreenSky, Inc.",Pres Patient Solutions,Dennis Kelly,https://www.linkedin.com/in/dennisikelly,N/A
"GreenSky, Inc.",Chb Ceo,David Zalik,https://www.linkedin.com/in/davidzalik,N/A
GrubHub Inc.,SVP Operations,Stanley Chia,https://www.linkedin.com/in/stanchia,https://www.grubhub.com/
GrubHub Inc.,"President, CEO, and Director",Matthew Maloney,https://www.linkedin.com/in/matthewmaloney,https://www.grubhub.com/
GrubHub Inc.,Chairman,Brian P. McAndrews,https://www.linkedin.com/in/brian-mcandrews-340a5033,https://www.grubhub.com/
"HealthEquity, Inc.",President and CEO,Jon Kessler,https://www.linkedin.com/in/jonkessler,https://www.healthequity.com
"HealthEquity, Inc.",Vice Chair,Stephen D. Neeleman,https://www.linkedin.com/in/steve-neeleman-19b0315,https://www.healthequity.com
"HealthEquity, Inc.",Chairman,Robert W. Selander,N/A,https://www.healthequity.com
Highpower International Inc,PROPRIETOR,Trevor Laingfield,N/A,https://www.highpowertech.com
Highpower International Inc,,N/A,N/A,https://www.highpowertech.com
Highpower International Inc,,N/A,N/A,https://www.highpowertech.com
HMS Holdings Corp,"Chairman, President, and CEO",William C. Lucia,N/A,https://www.hms.com
HMS Holdings Corp,EVP Operations and Information Technology,Semone Neuman,https://www.linkedin.com/in/semone-neuman-6594252,https://www.hms.com
HMS Holdings Corp,"EVP, CFO, and Treasurer",Jeffrey S. Sherman,https://www.linkedin.com/in/jeff-sherman-7318846,https://www.hms.com
"i3 Verticals, Inc.",Cto,Robert Bertke,N/A,https://www.i3verticals.com
"i3 Verticals, Inc.",General Counsel Sec,Paul Maple,https://www.linkedin.com/in/paul-maple-139a1b7,https://www.i3verticals.com
"i3 Verticals, Inc.",Sr V Pres Fin,Scott Meriwether,https://www.linkedin.com/in/scott-meriwether-7ab88221,https://www.i3verticals.com
Ikonics Corporation,Technical Sales Specialist,Wes Barton,N/A,https://www.ikonics.com
Ikonics Corporation,Technical Sales Specialist,Andy Hromatka,https://www.linkedin.com/in/andy-hromatka-26157a105,https://www.ikonics.com
Ikonics Corporation,Robotics Engineer,Jesse Mehrhoff,https://www.linkedin.com/in/jessemehrhoff,https://www.ikonics.com
Imax Corporation,CEO and Director,Richard L. Gelfond,N/A,https://www.imax.com
Imax Corporation,CFO,Patrick S. McClymont,https://www.linkedin.com/in/patrickmcclymont,https://www.imax.com
Imax Corporation,Chairman,Bradley J. Wechsler,https://www.linkedin.com/in/brad-wechsler-b4775966,https://www.imax.com
"InnerWorkings, Inc.",President and CEO,Eric D. Belcher,https://www.linkedin.com/in/eric-belcher-15700a83,https://www.inwk.com
"InnerWorkings, Inc.",Chairman,Jack M. Greenberg,https://www.linkedin.com/in/jack-greenberg-47265512,https://www.inwk.com
"InnerWorkings, Inc.",EVP and CFO,Jeffrey P. Pritchett,https://www.linkedin.com/in/jeffrey-p-pritchett-aa69329,https://www.inwk.com
Integer Holdings Corporation,EVP and COO,Jeremy A. Friedman,https://www.linkedin.com/in/jeremy-friedman-63799511,https://www.integer.net
Integer Holdings Corporation,President and CEO,Thomas J. Hook,https://www.linkedin.com/in/thomas-hook-94414a1,https://www.integer.net
Integer Holdings Corporation,Chairman,William R. Sanford,N/A,https://www.integer.net
"InterDigital, Inc.",Corporate Technology Recruiter,Chadd Balbi,https://www.linkedin.com/in/chaddbalbi,https://www.interdigital.com
"InterDigital, Inc.",Chairman,Steven T. Clontz,N/A,https://www.interdigital.com
"InterDigital, Inc.",President and CEO,William J. Merritt,N/A,https://www.interdigital.com
"International Money Express, Inc.",Pres Ceo,Robert Lisy,N/A,https://www.intermexonline.com
"International Money Express, Inc.",Pres Cfo,Jay Mcentee,N/A,https://www.intermexonline.com
"International Money Express, Inc.",,N/A,N/A,https://www.intermexonline.com
Issuer Direct Corporation,Chb-ceo,Brian R Balbirnie,https://www.linkedin.com/in/brianbalbirnie,https://www.issuerdirect.com
Issuer Direct Corporation,,N/A,N/A,https://www.issuerdirect.com
Issuer Direct Corporation,,N/A,N/A,https://www.issuerdirect.com
Kingold Jewelry Inc.,"Director, President, Secretary, Treasurer",Paul Goodman,N/A,https://www.kingoldjewelry.com
Kingold Jewelry Inc.,Chairman Of The Board And Chief Executive Officer,Zhinhong Jia,N/A,https://www.kingoldjewelry.com
Kingold Jewelry Inc.,Chief Financial Officer And Secretary,Bin Liu,N/A,https://www.kingoldjewelry.com
LendingClub Corporation,Senior Director Financial Institutions Sales,Ryan Chernis,https://www.linkedin.com/in/ryan-chernis-533916,https://www.lendingclub.com/
LendingClub Corporation,Chief Capital Officer,Patrick Dunne,https://www.linkedin.com/in/patrick-dunne-b707b4120,https://www.lendingclub.com/
LendingClub Corporation,Principal Engineer,Joshua Outwater,https://www.linkedin.com/in/joshua-outwater-3827861,https://www.lendingclub.com/
"Limelight Networks, Inc.",Chairman,Walter D. Amaral,N/A,https://www.limelight.com
"Limelight Networks, Inc.",VP Operations,Dan Carney,https://www.linkedin.com/in/dancarney,https://www.limelight.com
"Limelight Networks, Inc.",President and CEO,Robert A. Lento,N/A,https://www.limelight.com
"Liquidity Services, Inc.",Chairman and CEO,William P. Angrick,https://www.linkedin.com/in/williampangrick,https://www.liquidityservices.com/
"Liquidity Services, Inc.",CIO,Leoncio Casusol,https://www.linkedin.com/in/leonciocasusol,https://www.liquidityservices.com/
"Liquidity Services, Inc.",EVP and CFO,Jorge A. Celaya,https://www.linkedin.com/in/jorge-celaya-604b8723,https://www.liquidityservices.com/
"LSC Communications, Inc.",Chief Administrative Officer and General Counsel,Suzanne S. Bettman,N/A,https://www.lsccom.com/
"LSC Communications, Inc.",CFO,Andrew B. Coxhead,N/A,https://www.lsccom.com/
"LSC Communications, Inc.",Chairman and CEO,Thomas J. Quinlan,https://www.linkedin.com/in/tom-quinlan-65721038,https://www.lsccom.com/
"Lyft, Inc.",CEO,Ann Borja,https://www.linkedin.com/in/annborja,https://www.lyft.com/
"Lyft, Inc.",Principal Engineer,Martin Donell,https://www.linkedin.com/in/reflejo/es,https://www.lyft.com/
"Lyft, Inc.",Co Founder and President,John Zimmer,https://www.linkedin.com/in/johnzimmer11,https://www.lyft.com/
"Marathon Patent Group, Inc.",Chief Operating Officer,Jim Crawford,https://www.linkedin.com/in/jim-crawford-b3399932,https://www.marathonpg.com/
"Marathon Patent Group, Inc.",Chb-ceo,Doug Croxall,N/A,https://www.marathonpg.com/
"Marathon Patent Group, Inc.",,N/A,N/A,https://www.marathonpg.com/
"Marchex, Inc.",Chairman,Anne Devereux-Mills,N/A,https://www.marchex.com
"Marchex, Inc.",Vice Chairman,Nicolas J. Hanauer,N/A,https://www.marchex.com
"Marchex, Inc.","Chief Revenue Officer and Member, Interim Office of the CEO",Gary Nafus,N/A,https://www.marchex.com
Mastercard Incorporated,President and CEO,Ajaypal S. Banga,https://www.linkedin.com/in/ajaybanga,https://www.mastercard.com
Mastercard Incorporated,Chairman,Richard N. Haythornthwaite,N/A,https://www.mastercard.com
Mastercard Incorporated,"Vice Chairman and President, Center for Inclusive Growth",Walt W. Macnee,https://ca.linkedin.com/in/waltmacnee,https://www.mastercard.com
"Maximus, Inc.",VICE PRESIDENT,Fatima Mccasland,N/A,https://www.maximus.com
"Maximus, Inc.",Vice Chairman,Richard A. Montoni,N/A,https://www.maximus.com
"Maximus, Inc.",Chairman,Peter B. Pond,N/A,https://www.maximus.com
"Maxwell Technologies, Inc.",,N/A,N/A,https://www.maxwell.com
"Maxwell Technologies, Inc.",,N/A,N/A,https://www.maxwell.com
"Maxwell Technologies, Inc.",,N/A,N/A,https://www.maxwell.com
"MercadoLibre, Inc.",Vice President,Pedro Dornelles Arnt,N/A,https://www.mercadolibre.com
"MercadoLibre, Inc.",President,Marcos Eduardo Galperin,https://ar.linkedin.com/in/marcosgalperin,https://www.mercadolibre.com
"MercadoLibre, Inc.",Manager,Osvaldo Rafael Giménez,N/A,https://www.mercadolibre.com
MOGU Inc.,,N/A,N/A,N/A
MOGU Inc.,,N/A,N/A,N/A
MOGU Inc.,,N/A,N/A,N/A
"Moneygram International, Inc.",EVP and CFO,Lawrence Angelilli,https://www.linkedin.com/in/larry-angelilli-69a18b7,https://www.corporate.moneygram.com
"Moneygram International, Inc.",CEO and Director,W. Alexander Holmes,N/A,https://www.corporate.moneygram.com
"Moneygram International, Inc.",Chairman,Pamela H. Patsley,N/A,https://www.corporate.moneygram.com
MSCI Inc,Chairman and CEO,Henry A. Fernandez,https://www.linkedin.com/in/henry-fernandez-a042b061,https://www.msci.com
MSCI Inc,Managing Director and COO,C. D. Baer Pettit,N/A,https://www.msci.com
MSCI Inc,CFO,Kathleen A. Winters,https://www.linkedin.com/in/kathleen-winters-2a41807,https://www.msci.com
Multi-Color Corporation,"VP, CFO, and Chief Accounting Officer",Sharon E. Birkett,https://www.linkedin.com/in/sharon-birkett-1301222,https://www.mcclabel.com
Multi-Color Corporation,"President, CEO, and Director",Vadis A. Rodato,https://www.linkedin.com/in/vadis-rodato-7b40755,https://www.mcclabel.com
Multi-Color Corporation,Chairman,Nigel A. Vinecombe,N/A,https://www.mcclabel.com
NCR Corporation,President and COO,Mark D. Benjamin,https://www.linkedin.com/in/mark-benjamin-61429415,https://www.ncr.com
NCR Corporation,"EVP, CFO and Chief Accounting Officer",Robert P. Fishman,https://www.linkedin.com/in/robert-fishman-963996171,https://www.ncr.com
NCR Corporation,"Chairman, CEO, and President",William R. Nuti,N/A,https://www.ncr.com
"NetEase, Inc.",,N/A,N/A,https://www.netease.com
"NetEase, Inc.",,N/A,N/A,https://www.netease.com
"NetEase, Inc.",,N/A,N/A,https://www.netease.com
"Network-1 Technologies, Inc.",Executive Vice President,Jon Greene,https://www.linkedin.com/in/jon-greene-932bb92,https://www.network-1.com
"Network-1 Technologies, Inc.",Chb-ceo-sec,Corey M Horowitz,N/A,https://www.network-1.com
"Network-1 Technologies, Inc.",,N/A,N/A,https://www.network-1.com
NIC Inc.,Executive Vice President; Chief Administrative Officer; General Counsel; Secretary,William F. Bradley,https://www.linkedin.com/in/william-bradley-9b9a5896,https://www.egov.com
NIC Inc.,Chairman of the Board; Chief Executive Officer,Harry H. Herington,https://www.linkedin.com/in/harryherington,https://www.egov.com
NIC Inc.,COO,Robert Knapp,https://www.linkedin.com/in/robert-knapp-22346b3/,https://www.egov.com
Nielsen N.V.,,N/A,N/A,https://www.nielsen.com
Nielsen N.V.,,N/A,N/A,https://www.nielsen.com
Nielsen N.V.,,N/A,N/A,https://www.nielsen.com
Novanta Inc.,Chairman,Stephen W. Bershad,https://www.linkedin.com/in/stephen-bershad-16169738,https://www.novanta.com
Novanta Inc.,CFO,Robert Buckley,https://www.linkedin.com/in/robertjohnbuckley,https://www.novanta.com
Novanta Inc.,CEO and Director,Matthijs Glastra,https://www.linkedin.com/in/matthijsglastra,https://www.novanta.com
OptimizeRx Corporation,Chairman,David A Harrell,https://www.linkedin.com/in/david-harrell-205b8b6,https://www.optimizerx.com/
OptimizeRx Corporation,,N/A,N/A,https://www.optimizerx.com/
OptimizeRx Corporation,,N/A,N/A,https://www.optimizerx.com/
PAR Technology Corporation,CIO,John Darby,https://www.linkedin.com/in/johnwdarby,https://www.paresources.se/
PAR Technology Corporation,"President, CEO, and Director",Donald H. Foley,https://www.linkedin.com/in/donaldfoleyjr,https://www.paresources.se/
PAR Technology Corporation,CFO,Bryan Menar,N/A,https://www.paresources.se/
"PayPal Holdings, Inc.",EVP and CFO,John D. Rainey,https://www.linkedin.com/in/john-rainey-pypl,https://www.paypal.com/
"PayPal Holdings, Inc.",EVP and COO,William Ready,N/A,https://www.paypal.com/
"PayPal Holdings, Inc.",President and CEO,Daniel H. Schulman,https://www.linkedin.com/in/dan-schulman,https://www.paypal.com/
"PFSweb, Inc.","EVP, CFO, and Chief Accounting Officer",Thomas J. Madden,https://www.linkedin.com/in/tom-madden-50793410,https://www.pfsweb.com
"PFSweb, Inc.",Chairman,James F. Reilly,https://www.linkedin.com/in/jim-reilly-7467381,https://www.pfsweb.com
"PFSweb, Inc.",CEO,Michael C. Willoughby,https://www.linkedin.com/in/mikewilloughby,https://www.pfsweb.com
Pinduoduo Inc.,,N/A,N/A,https://www.pinduoduo.com/
Pinduoduo Inc.,,N/A,N/A,https://www.pinduoduo.com/
Pinduoduo Inc.,,N/A,N/A,https://www.pinduoduo.com/
Pitney Bowes Inc.,President and CEO,Marc B. Lautenbach,N/A,https://www.pb.com
Pitney Bowes Inc.,EVP and COO,Michael Monahan,https://www.linkedin.com/in/michael-monahan-602bb515a,https://www.pb.com
Pitney Bowes Inc.,Chairman,Michael I. Roth,https://www.linkedin.com/in/michael-roth-3b2a60a7,https://www.pb.com
"Points International, Ltd.",President & Board Member,Christopher Barnard,https://ca.linkedin.com/in/barnardchristopher,https://www.points.com/
"Points International, Ltd.",Vice President,Peter Doulas,https://ca.linkedin.com/in/peter-doulas-828350,https://www.points.com/
"Points International, Ltd.",Senior Vice President,Jay Malowney,https://ca.linkedin.com/in/jay-malowney-3302693,https://www.points.com/
"Polar Power, Inc.",,N/A,N/A,https://www.polarpower.com
"Polar Power, Inc.",,N/A,N/A,https://www.polarpower.com
"Polar Power, Inc.",,N/A,N/A,https://www.polarpower.com
"Priority Technology Holdings, Inc.",,N/A,N/A,https://www.miacquisitions.com
"Priority Technology Holdings, Inc.",,N/A,N/A,https://www.miacquisitions.com
"Priority Technology Holdings, Inc.",,N/A,N/A,https://www.miacquisitions.com
QIWI plc,director,Boris Kim,https://ru.linkedin.com/in/boris-kim-42138a33,https://www.qiwi.com/
QIWI plc,director,Bedier Osama Mostafa,N/A,https://www.qiwi.com/
QIWI plc,director,Marcus James Rhodes,N/A,https://www.qiwi.com/
"Quad Graphics, Inc",,N/A,N/A,https://www.quad.com
"Quad Graphics, Inc",,N/A,N/A,https://www.quad.com
"Quad Graphics, Inc",,N/A,N/A,https://www.quad.com
Quarterhill Inc.,,N/A,N/A,https://www.quarterhill.com
Quarterhill Inc.,,N/A,N/A,https://www.quarterhill.com
Quarterhill Inc.,,N/A,N/A,https://www.quarterhill.com
"QuinStreet, Inc.",CTO,Nina Bhanap,https://www.linkedin.com/in/nina-bhanap-a298a,https://www.quinstreet.com
"QuinStreet, Inc.",Chairman and CEO,Douglas Valenti,https://www.linkedin.com/in/doug-valenti-7424278,https://www.quinstreet.com
"QuinStreet, Inc.",CFO,Gregory Wong,https://www.linkedin.com/in/greg-wong-120b61,https://www.quinstreet.com
R.R. Donnelley & Sons Company,Jednatel,Edward Patrick Allen,N/A,https://www.rrdonnelley.com
R.R. Donnelley & Sons Company,,N/A,N/A,https://www.rrdonnelley.com
R.R. Donnelley & Sons Company,,N/A,N/A,https://www.rrdonnelley.com
Radware Ltd.,finance vice-president,Doron Abramovitz,N/A,https://www.radware.com
Radware Ltd.,chief executive,Roy Zisapel,https://il.linkedin.com/in/roy-zisapel-24b4204,https://www.radware.com
Radware Ltd.,chairman,Yehuda Zisapel,N/A,https://www.radware.com
Research Frontiers Incorporated,Chairman,Darryl Daigle,N/A,https://www.smartglass.com
Research Frontiers Incorporated,Chief Marketing Officer,Steven Dweck,N/A,https://www.smartglass.com
Research Frontiers Incorporated,Vice President Technology,Steven Slovak,https://www.linkedin.com/in/steve-slovak-15570438,https://www.smartglass.com
"Resources Connection, Inc.","President, CEO, and Director",Kate W. Duchene,N/A,https://www.rgp.com
"Resources Connection, Inc.",Executive Chairman,Donald B. Murray,https://www.linkedin.com/in/don-murray-5b898028,https://www.rgp.com
"Resources Connection, Inc.",EVP International Operations and Supply Chain Management,Tracy B. Stephens,https://www.linkedin.com/in/tracy-b-stephens-83b0075,https://www.rgp.com
"Rimini Street, Inc.",President And Chief Operating Officer,Sebastian Grady,https://www.linkedin.com/in/sebastian-grady-91837,https://www.riministreet.com/
"Rimini Street, Inc.","Managing Director, Europe And Africa",Jill Harrison,https://uk.linkedin.com/in/jill-harrison-3356841,https://www.riministreet.com/
"Rimini Street, Inc.","Vice President, Global Sales Operations",Kevin Wion,https://www.linkedin.com/in/kevin-wion-0617333,https://www.riministreet.com/
Ritchie Bros. Auctioneers Incorporated,Senior Vice President,Becky Alseth,N/A,https://www.rbauction.com/
Ritchie Bros. Auctioneers Incorporated,Senior Vice President,Doug Feick,https://www.linkedin.com/in/dougfeick,https://www.rbauction.com/
Ritchie Bros. Auctioneers Incorporated,Senior Vice President,Kieran Holm,https://www.linkedin.com/in/kieran-holm-0387291a,https://www.rbauction.com/
"ServiceSource International, Inc.",CEO,Christopher Carrington,https://www.linkedin.com/in/christopher-carrington-0430145,https://www.servicesource.com
"ServiceSource International, Inc.",Sales Representative,Angela Cordle,N/A,https://www.servicesource.com
"ServiceSource International, Inc.",COO,Brian J. Delaney,https://www.linkedin.com/in/brdelaney,https://www.servicesource.com
"Shutterfly, Inc.",SVP Operations,Dwayne Black,https://www.linkedin.com/in/dwayne-black-a516434,https://www.shutterflyinc.com
"Shutterfly, Inc.",Chairman,William J. Lansing,https://www.linkedin.com/in/williamlansing,https://www.shutterflyinc.com
"Shutterfly, Inc.",President and CEO,Christopher North,https://uk.linkedin.com/in/christophernorth,https://www.shutterflyinc.com
"SilverSun Technologies, Inc.",Chb-pres-ceo-cfo,Mark Meller,https://www.linkedin.com/in/markmeller,https://www.silversuntech.com
"SilverSun Technologies, Inc.",,N/A,N/A,https://www.silversuntech.com
"SilverSun Technologies, Inc.",,N/A,N/A,https://www.silversuntech.com
"SITO Mobile, Ltd.",Pres-ceo,James Orsini,https://www.linkedin.com/in/james-orsini-4b1aaa7,https://www.sitomobile.com
"SITO Mobile, Ltd.",,N/A,N/A,https://www.sitomobile.com
"SITO Mobile, Ltd.",,N/A,N/A,https://www.sitomobile.com
Sotheby's,,N/A,N/A,
Sotheby's,,N/A,N/A,
Sotheby's,,N/A,N/A,
"SPAR Group, Inc.",Chief Operating Officer,Kori Belzer,https://www.linkedin.com/in/koribelzer,https://www.sparinc.com
"SPAR Group, Inc.",Senior Vice President,Pat Franco,https://www.linkedin.com/in/sunandsand,https://www.sparinc.com
"SPAR Group, Inc.",Director of Business Solutions,Matt Klein,https://www.linkedin.com/in/matt-klein-a2b687b,https://www.sparinc.com
"Spectrum Brands Holdings, Inc.",,N/A,N/A,https://www.spectrumbrands.com
"Spectrum Brands Holdings, Inc.",,N/A,N/A,https://www.spectrumbrands.com
"Spectrum Brands Holdings, Inc.",,N/A,N/A,https://www.spectrumbrands.com
