Company,Position,Name,Linkedin,Company Website
Exxon Mobil Corporation Common Stock,,N/A,N/A,
Exxon Mobil Corporation Common Stock,,N/A,N/A,
Exxon Mobil Corporation Common Stock,,N/A,N/A,
Chevron Corporation Common Stock,,N/A,N/A,
Chevron Corporation Common Stock,,N/A,N/A,
Chevron Corporation Common Stock,,N/A,N/A,
BHP Group PlcSponsored ADR,,N/A,N/A,
BHP Group PlcSponsored ADR,,N/A,N/A,
BHP Group PlcSponsored ADR,,N/A,N/A,
TotalEnergies SE,,N/A,N/A,
TotalEnergies SE,,N/A,N/A,
TotalEnergies SE,,N/A,N/A,
ConocoPhillips Common Stock,,N/A,N/A,
ConocoPhillips Common Stock,,N/A,N/A,
ConocoPhillips Common Stock,,N/A,N/A,
BP p.l.c. Common Stock,,N/A,N/A,
BP p.l.c. Common Stock,,N/A,N/A,
BP p.l.c. Common Stock,,N/A,N/A,
PetroChina Company Limited Common Stock,,N/A,N/A,
PetroChina Company Limited Common Stock,,N/A,N/A,
PetroChina Company Limited Common Stock,,N/A,N/A,
Equinor ASA,,N/A,N/A,
Equinor ASA,,N/A,N/A,
Equinor ASA,,N/A,N/A,
Enbridge Inc Common Stock,,N/A,N/A,
Enbridge Inc Common Stock,,N/A,N/A,
Enbridge Inc Common Stock,,N/A,N/A,
Petroleo Brasileiro S.A.- Petrobras Common Stock,,N/A,N/A,
Petroleo Brasileiro S.A.- Petrobras Common Stock,,N/A,N/A,
Petroleo Brasileiro S.A.- Petrobras Common Stock,,N/A,N/A,
China Petroleum & Chemical Corporation Common Stock,,N/A,N/A,
China Petroleum & Chemical Corporation Common Stock,,N/A,N/A,
China Petroleum & Chemical Corporation Common Stock,,N/A,N/A,
"EOG Resources, Inc. Common Stock",,N/A,N/A,
"EOG Resources, Inc. Common Stock",,N/A,N/A,
"EOG Resources, Inc. Common Stock",,N/A,N/A,
ENI S.p.A. Common Stock,,N/A,N/A,
ENI S.p.A. Common Stock,,N/A,N/A,
ENI S.p.A. Common Stock,,N/A,N/A,
Pioneer Natural Resources Company Common Stock,,N/A,N/A,
Pioneer Natural Resources Company Common Stock,,N/A,N/A,
Pioneer Natural Resources Company Common Stock,,N/A,N/A,
Schlumberger N.V. Common Stock,,N/A,N/A,
Schlumberger N.V. Common Stock,,N/A,N/A,
Schlumberger N.V. Common Stock,,N/A,N/A,
Marathon Petroleum Corporation Common Stock,,N/A,N/A,
Marathon Petroleum Corporation Common Stock,,N/A,N/A,
Marathon Petroleum Corporation Common Stock,,N/A,N/A,
Phillips 66 Common Stock,,N/A,N/A,
Phillips 66 Common Stock,,N/A,N/A,
Phillips 66 Common Stock,,N/A,N/A,
Valero Energy Corporation Common Stock,,N/A,N/A,
Valero Energy Corporation Common Stock,,N/A,N/A,
Valero Energy Corporation Common Stock,,N/A,N/A,
Ecopetrol S.A. American Depositary Shares,,N/A,N/A,
Ecopetrol S.A. American Depositary Shares,,N/A,N/A,
Ecopetrol S.A. American Depositary Shares,,N/A,N/A,
MPLX LP Common Units Representing Limited Partner Interests,,N/A,N/A,
MPLX LP Common Units Representing Limited Partner Interests,,N/A,N/A,
MPLX LP Common Units Representing Limited Partner Interests,,N/A,N/A,
Occidental Petroleum Corporation Common Stock,,N/A,N/A,
Occidental Petroleum Corporation Common Stock,,N/A,N/A,
Occidental Petroleum Corporation Common Stock,,N/A,N/A,
Hess Corporation Common Stock,,N/A,N/A,
Hess Corporation Common Stock,,N/A,N/A,
Hess Corporation Common Stock,,N/A,N/A,
Devon Energy Corporation Common Stock,,N/A,N/A,
Devon Energy Corporation Common Stock,,N/A,N/A,
Devon Energy Corporation Common Stock,,N/A,N/A,
Baker Hughes Company Class A Common Stock,,N/A,N/A,
Baker Hughes Company Class A Common Stock,,N/A,N/A,
Baker Hughes Company Class A Common Stock,,N/A,N/A,
Halliburton Company Common Stock,,N/A,N/A,
Halliburton Company Common Stock,,N/A,N/A,
Halliburton Company Common Stock,,N/A,N/A,
