Company,CEO,CEO Linkedin Profile,Vice President,Vice President Linkedin Profile
"Echo Global Logistics, Inc.",Doug Waggoner ,https://www.linkedin.com/in/dougwaggoner,John Mims ,https://www.linkedin.com/in/john-mims-b658384
"Era Group, Inc.",Chris Bradshaw ,https://www.linkedin.com/in/chris-bradshaw-43479b6,Paul White ,https://www.linkedin.com/in/paul-white-812aa835
Euronav NV,Paddy Rodgers ,https://uk.linkedin.com/in/paddy-rodgers-303b8b11,Mhar Miranda ,https://ph.linkedin.com/in/mhar-miranda-441318b1
Euroseas Ltd.,Aristeidis Pittas ,https://gr.linkedin.com/in/aristeidis-pittas-8a0368146,Anastasios Aslidis ,https://www.linkedin.com/in/anastasios-aslidis-59555b5
"Expeditors International of Washington, Inc.",Jeff Musser ,https://www.linkedin.com/in/musserjeff,Chris Pothering ,https://www.linkedin.com/in/chris-pothering-855a985
FedEx Corporation,David Cunningham ,https://www.linkedin.com/in/david-cunningham-52884857,Sherry Hawkins ,https://www.linkedin.com/in/sherry-hawkins-927a932a
Forward Air Corporation,Tom Schmitt ,https://www.linkedin.com/in/tschmitt1965,Jeff Taylor ,https://www.linkedin.com/in/jeff-taylor-539bb617
Frontline Ltd.,Joseph Richter ,https://www.linkedin.com/pub/joseph-richter/3b/8b3/a03,Steve Oldenburg ,https://www.linkedin.com/in/steve-oldenburg-40b6b610
Genco Shipping & Trading Limited,John C. Wobensmith ,https://www.linkedin.com/in/johnwobensmith,"Peter Allen, CFA ",https://www.linkedin.com/in/peter-allen-cfa-2356254a
"Genesee & Wyoming, Inc.",Jen Kowal ,https://www.linkedin.com/in/jen-kowal-59a4b7a8,Hoffman Lijeron ,https://www.linkedin.com/in/hoffman-lijeron
"Global Ship Lease, Inc.",Ib Fruergaard ,https://in.linkedin.com/in/ib21nida30,"Nathan Shantz, CFA ",https://www.linkedin.com/in/nathanshantz
