Company,CEO,CEO Linkedin Profile,Vice President,Vice President Linkedin Profile,Company Website
Petroleo Brasileiro S.A.- Petrobras,Jianhua Zhang ,https://www.linkedin.com/in/minhaj-miltz,JORGE ROMEIRO ,https://sg.linkedin.com/in/jorge-romeiro-9168b524,https://www.petrobras.com.br
Phillips 66,Brian Coffman ,https://www.linkedin.com/in/brian-coffman-a9463352,Paula Johnson ,https://www.linkedin.com/in/paula-johnson-a0801973,https://www.phillips66.com
Phillips 66 Partners LP,Erica Johnson ,https://www.linkedin.com/in/erica-johnson-07413745,Ryan Caillier ,https://www.linkedin.com/in/ryan-caillier-b028b732,https://www.phillips66partners.com
Pioneer Energy Services Corp.,300+ Lisa Diaz profiles ,https://www.linkedin.com/pub/dir/Lisa/Diaz,Jamall Pena ,https://www.linkedin.com/in/jamall-pena-07927934,https://www.pioneeres.com
Pioneer Natural Resources Company,Stephanie Stewart ,https://www.linkedin.com/in/stewartstephanie,Susan Spratlen ,https://www.linkedin.com/in/susan-spratlen-3466a564,https://www.pxd.com
"Plains All American Pipeline, L.P.",Paul Thannisch ,https://www.linkedin.com/in/paulthannisch,Dean Gore ,https://www.linkedin.com/in/dean-gore-76972a16,https://www.plainsallamerican.com
"Plains Group Holdings, L.P.",Result Not Found,No Results,Result Not Found,No Results,https://www.plainsallamerican.com/
"Plug Power, Inc.",Andy Marsh ,https://www.linkedin.com/in/andy-marsh-b88b627,Rick Mason ,https://www.linkedin.com/in/rick-mason-bb08417,https://www.plugpower.com/
Precision Drilling Corporation,Sharmane Shaw ,https://www.linkedin.com/in/sharmane-shaw-7431108a,Brad Lindemann ,https://www.linkedin.com/in/brad-lindemann-91104112,https://www.precisiondrilling.com
PrimeEnergy Resources Corporation,Result Not Found,No Results,"Nathan Maedgen, MBA ",https://www.linkedin.com/in/maedgen,N/A
"Profire Energy, Inc.",Andrew Limpert ,https://www.linkedin.com/in/andrewlimpert,Ryan Oviatt ,https://www.linkedin.com/in/ryanoviatt,https://www.profireenergy.com
ProPetro Holding Corp.,Sara Graziano ,https://www.linkedin.com/in/sara-graziano-009a7158,Sara Graziano ,https://www.linkedin.com/in/sara-graziano-009a7158,https://www.animascorp.com/
"QEP Resources, Inc.",Charles B. Stanley ,https://www.linkedin.com/in/charles-b-stanley-85496040,"Lauren Miller, MBA, PHR, SHRM",https://www.linkedin.com/in/lauren-miller-mba-phr-shrm-cp-0481b621,https://www.qepres.com
Quintana Energy Services Inc.,Rogers Herndon ,https://www.linkedin.com/in/rogers-herndon-28b9489,"Gbolade Odeneye, CPA, FCCA, MBA ",https://www.linkedin.com/in/gbolade-odeneye-cpa-fcca-mba-707bba6,https://www.quintanaenergyservices.com
"Ramaco Resources, Inc.",RANDALL W. ATKINS ,https://www.linkedin.com/in/randall-w-atkins-536b3bb,Trent Kososki ,https://www.linkedin.com/in/trentkososki,https://www.ramacoresources.com
Range Resources Corporation,Christopher Helms ,https://www.linkedin.com/in/christopher-helms-68767356,Juli Basinger ,https://www.linkedin.com/in/juli-basinger-1a29469,https://www.rangeresources.com
"Ranger Energy Services, Inc.",Chief Tauzin ,https://hu.linkedin.com/pub/chief-tauzin/61/12a/393,Chief Tauzin ,https://hu.linkedin.com/pub/chief-tauzin/61/12a/393,https://www.rangerenergy.com
"Recon Technology, Ltd.",Result Not Found,No Results,Matthew DeAngelo ,https://bt.linkedin.com/pub/matthew-deangelo/66/240/959?trk=seokp-post-author-image,https://www.recon.cn
"Ring Energy, Inc.",Danny Wilson ,https://www.linkedin.com/in/danny-wilson-2019a437,Hollie Lamb ,https://www.linkedin.com/in/hollie-lamb-06380194,https://www.ringenergy.com
"Roan Resources, Inc.",Melissa Patterson ,https://www.linkedin.com/in/77recruiter,Melissa Patterson ,https://www.linkedin.com/in/77recruiter,N/A
Rosehill Resources Inc.,Craig Owen ,https://www.linkedin.com/in/craig-owen-2206699,John Crain ,https://www.linkedin.com/in/john-crain-93771ab,https://www.rosehillresources.com
Rosehill Resources Inc.,Craig Owen ,https://www.linkedin.com/in/craig-owen-2206699,John Crain ,https://www.linkedin.com/in/john-crain-93771ab,https://www.rosehillresources.com
Rosehill Resources Inc.,Craig Owen ,https://www.linkedin.com/in/craig-owen-2206699,John Crain ,https://www.linkedin.com/in/john-crain-93771ab,https://www.rosehillresources.com
Rowan Companies plc,Kevin Bartol ,https://www.linkedin.com/in/bartol,Jason Anderson ,https://www.linkedin.com/in/jason-anderson-4862b07,https://www.rowancompanies.com
"RPC, Inc.",Richard Hubbell ,https://www.linkedin.com/in/richard-hubbell-61053a39,Shannon Pope ,https://www.linkedin.com/in/shannonpope,https://www.rpc.net
Sabine Royalty Trust,Gerald Haddock ,https://www.linkedin.com/in/geraldhaddock,Gerald Haddock ,https://www.linkedin.com/in/geraldhaddock,https://www.sbr-sabine.com
"SAExploration Holdings, Inc.",L. Melvin Cooper ,https://www.linkedin.com/in/l-melvin-cooper-4245341a,Stanley Tan ,https://www.linkedin.com/in/stanley-tan-4a615416,https://www.saexploration.com
San Juan Basin Royalty Trust,Result Not Found,No Results,Lee Ann Anderson ,https://www.linkedin.com/in/lee-ann-anderson-137baa32,https://www.sjbrt.com
Sanchez Midstream Partners LP,Garrick (Rick) Hill ,https://www.linkedin.com/in/garrick-rick-hill-858a18,Garrick (Rick) Hill ,https://www.linkedin.com/in/garrick-rick-hill-858a18,https://www.sanchezmidstream.com/
"SandRidge Energy, Inc.",Paul McKinney ,https://www.linkedin.com/in/paul-mckinney-1985a84,John Y. Jo ,https://www.linkedin.com/in/john-y-jo-16b652a,https://www.sandridgeenergy.com
SandRidge Mississippian Trust I,Bullimalinna Sot ,https://www.linkedin.com/in/bullisot,Justin Byrne ,https://www.linkedin.com/in/justin-byrne-0462312,https://www.sandridgeenergy.com/
SandRidge Mississippian Trust II,Result Not Found,No Results,Justin Byrne ,https://www.linkedin.com/in/justin-byrne-0462312,https://www.sandridgeenergy.com
SandRidge Permian Trust,Result Not Found,No Results,Justin Byrne ,https://www.linkedin.com/in/justin-byrne-0462312,https://www.perotsystems.com
Sasol Ltd.,Isaac Matji ,https://za.linkedin.com/in/isaac-matji-8a119a17,Fleetwood Grobler ,https://in.linkedin.com/pub/fleetwood-grobler/20/202/0,N/A
Schlumberger N.V.,Martha L Romero M ,https://www.linkedin.com/in/marthalromerom,Michael J. David ,https://www.linkedin.com/in/michael-j-david-3581b842,https://www.slb.com
Seadrill Limited,per wullf ,https://www.linkedin.com/in/per-wullf-88604b114,Matthew Rose ,https://uk.linkedin.com/in/matthew-rose-bb0abb32,https://www.seadrill.no/
Seadrill Partners LLC,Andy Cumming ,https://www.linkedin.com/in/andy-cumming-b7a550b1,Top 25 Joshua Garland profiles ,https://www.linkedin.com/pub/dir/Joshua/Garland,https://www.seadrillpartners.com
"Select Energy Services, Inc.",Rebecca Briggs ,https://www.linkedin.com/in/rebecca-briggs-6559079,Michael Skarke ,https://www.linkedin.com/in/michael-skarke-a6364815,https://www.selectenergyservices.com
Semgroup Corporation,Kimberly Thompson Nave ,https://www.linkedin.com/in/kimberly-thompson-nave-a8627713,Alisa Perkins ,https://www.linkedin.com/in/alisa-perkins-391b6a9,N/A
"Shell Midstream Partners, L.P.",Susan M. Ward ,https://www.linkedin.com/in/susan-m-ward-80736516,Curtis Frasier ,https://www.linkedin.com/in/curtis-frasier-3700b49,https://www.shellmidstreampartners.com
"SilverBow Resorces, Inc.",Result Not Found,"Lisa Strauser - Executive Assistant - SilverBow Resources, Inc ...",Result Not Found,John Manuel - Chief Inspector - 3i Inspection | LinkedIn,https://www.sbow.com
SM Energy Company,Jay Ottoson ,https://www.linkedin.com/in/jay-ottoson-7b336362,Kenneth Knott ,https://www.linkedin.com/in/kenneth-knott-1b542839,https://www.sm-energy.com
