Company,CEO,CEO Linkedin Profile,Vice President,Vice President Linkedin Profile,Company Website
Unilever PLC,Robert Clarke ,https://ke.linkedin.com/in/robert-clarke-97227a2a,BV Pradeep ,https://uk.linkedin.com/in/bv-pradeep-4ab2585,https://www.unilever.com
"United States Lime & Minerals, Inc.",Nita Mitchell ,https://www.linkedin.com/in/nita-mitchell-1344a79,Dave Leymeister ,https://www.linkedin.com/in/dave-leymeister-5833877,https://www.uslm.com
United States Steel Corporation,Sarados Milios ,https://www.linkedin.com/in/saradosmilios,Lia Romano ,https://www.linkedin.com/in/lia-romano-83a297114,https://www.ussteel.com
"Universal Forest Products, Inc.",Mark H. ,https://www.linkedin.com/in/mark-h-518490a,Joe McGuire ,https://www.linkedin.com/in/joe-mcguire-2578501b,https://www.ufpi.com/
"Universal Stainless & Alloy Products, Inc.",Dennis Oates ,https://www.linkedin.com/in/dennis-oates-75a3015,Dennis Oates ,https://www.linkedin.com/in/dennis-oates-75a3015,https://www.univstainless.com
Ur Energy Inc,Bill Boberg ,https://www.linkedin.com/in/bill-boberg-bab0276,John Cash ,https://www.linkedin.com/in/john-cash-774b30143,https://www.ur-energy.com
Uranium Energy Corp.,Amir Adnani ,https://ca.linkedin.com/in/amir-adnani-7a65aba,Clyde Yancey ,https://www.linkedin.com/in/clyde-yancey-b3398b23,https://www.uraniumenergy.com
"Urban Tea, Inc.",Result Not Found,No Results,Result Not Found,No Results,https://www.deltath.com
VALE S.A.,Joaquim Vale ,https://pt.linkedin.com/in/joaquim-vale-6b7990a,Paulo Dangelo ,https://www.linkedin.com/in/paulo-dangelo-b0647813,https://www.vale.com
"Valhi, Inc.",Mary Tidlund ,https://ca.linkedin.com/in/mary-tidlund-83732019,Amy Samford ,https://www.linkedin.com/in/amy-samford-46306077,https://www.valhi.net
Valvoline Inc.,Amy Samford ,https://www.linkedin.com/in/amy-samford-46306077,Matt Furcolo ,https://www.linkedin.com/in/matt-furcolo-85269a48,https://www.valvoline.com
Venator Materials PLC,Valter Musso ,https://www.linkedin.com/in/valter-musso,Russ Stolle ,https://www.linkedin.com/in/russ-stolle-7b9165100,https://www.venatorcorp.com/
Verso Corporation,Christopher DiSantis ,https://www.linkedin.com/in/christopher-disantis,Paul Clancy ,https://www.linkedin.com/in/paul-clancy-bba06013,https://www.versoco.com/
"Versum Materials, Inc.",James Bloom ,https://www.linkedin.com/in/james-bloom-77774975,Jessica Feather,https://www.linkedin.com/in/jessica-feather-bowman-a6203116,https://www.versummaterials.com/
Vista Gold Corporation,Greg Marlier ,https://www.linkedin.com/in/greg-marlier-24743566,"Warren Bates, P. Geo ",https://ca.linkedin.com/in/warren-bates-p-geo-3a92462b,https://www.vistagold.com
Vulcan Materials Company,Dean Sunas ,https://www.linkedin.com/in/dean-sunas-1b79b04a,Wes Burton ,https://www.linkedin.com/in/wes-burton-708678a,https://www.vulcanmaterials.com
W.R. Grace & Co.,David Cantrell ,https://www.linkedin.com/in/davidcantrell7,Jag Reddy ,https://www.linkedin.com/in/jagreddy,https://www.grace.com
WD-40 Company,Garry Ridge ,https://www.linkedin.com/in/garryridge,Wende Oliverio ,https://www.linkedin.com/in/wendeoliverio,https://www.wd40company.com
"West Pharmaceutical Services, Inc.",Betty Ryberg ,https://www.linkedin.com/in/betty-ryberg-60961310,David Montecalvo ,https://www.linkedin.com/in/david-montecalvo-45391420,https://www.westpharma.com
Western Copper and Gold Corporation,Paul West,https://ca.linkedin.com/in/paul-west-sells-596ab424,Paul West,https://ca.linkedin.com/in/paul-west-sells-596ab424,https://www.westerncopperandgold.com/
Westlake Chemical Corporation,"Donald M. Condon, Jr. ",https://www.linkedin.com/in/donald-m-condon-jr-4215117b,Steven Bender ,https://www.linkedin.com/in/steven-bender-40620013,https://www.westlake.com
Westlake Chemical Partners LP,Jeff Holy ,https://www.linkedin.com/in/jeff-holy-9854785,Jeff Holy ,https://www.linkedin.com/in/jeff-holy-9854785,https://www.wlkpartners.com
"Westwater Resources, Inc.",Chris Jones ,https://www.linkedin.com/in/chris-jones-14263122,"Dain McCoig, PE ",https://www.linkedin.com/in/dain-mccoig-pe-5701b611,https://www.westwaterresources.net
Wheaton Precious Metals Corp.,Randy Smallwood ,https://ca.linkedin.com/in/randy-smallwood-39092b17,Nicholas Teasdale ,https://www.linkedin.com/in/nteasdale,https://www.wheatonpm.com/
Xinyuan Real Estate Co Ltd,Dan Gilles ,https://www.linkedin.com/in/dfgilles,John Liang ,https://www.linkedin.com/in/johnzliang,https://www.xyre.com
Yamana Gold Inc.,Paul Buchanan ,https://www.linkedin.com/in/paul-buchanan-494b1123,Nelson Munhoz ,https://www.linkedin.com/in/nelson-munhoz-93229618,https://www.yamana.com
"Yield10 Bioscience, Inc.",Chuck Haaser ,https://www.linkedin.com/in/chuck-haaser-201b9bb,Lynne Brum ,https://www.linkedin.com/in/lynnebrum,https://www.yield10bio.com
