Company,CEO,CEO Linkedin Profile,Vice President,Vice President Linkedin Profile,Company Website
"BCE, Inc.",Glenn Greene ,https://www.linkedin.com/in/glenn-greene-35ba635,"Blake Lindsay, CISSP ",https://www.linkedin.com/in/blakelindsay,https://http//www.bce.ca
Black Hills Corporation,Mark Lux ,https://www.linkedin.com/in/mark-lux-47aa20ab,"Karen Beachy, CPSM ",https://www.linkedin.com/in/karenhimes,https://http//www.blackhillscorp.com
Brookfield Renewable Partners L.P.,Bryan Tokarsky ,https://ca.linkedin.com/in/bryan-tokarsky-007999a,Bryan Tokarsky ,https://ca.linkedin.com/in/bryan-tokarsky-007999a,https://www.bep.brookfield.com/
BT Group plc,Gavin Patterson ,https://uk.linkedin.com/in/gavin-patterson-19b9865b?trk=pub-pbmap,Stephen Clayton ,https://uk.linkedin.com/in/stephen-clayton-563a868,https://http//www.bt.com
"Cadiz, Inc.",Stephanie Gerken ,https://www.linkedin.com/in/stephanie-gerken-b5031564,Courtney Degener ,https://www.linkedin.com/in/courtney-degener-61239913,https://http//www.cadizinc.com
California Water Service Group Holding,Result Not Found,No Results,Result Not Found,No Results,N/A
"Casella Waste Systems, Inc.",Edwin Johnson ,https://www.linkedin.com/in/edwin-johnson-12896330,Jason Mead ,https://www.linkedin.com/in/jason-mead-0620b155,https://http//www.casella.com
"Cellcom Israel, Ltd.",Nurit Cohen ,https://il.linkedin.com/in/nurit-cohen-31464626,Arik Kalisher ,https://gr.linkedin.com/pub/arik-kalisher/3b/406/381?trk=biz_employee_pub,https://http//www.cellcom.co.il
"CenterPoint Energy, Inc.",Timothy Floyd ,https://www.linkedin.com/in/timothy-floyd-a465565,Jeff Bonham ,https://www.linkedin.com/in/jeff-bonham-87a2b08,https://http//www.centerpointenergy.com
Centrais Electricas Brasileiras S.A.- Eletrobras,Result Not Found,Bilingual Executive Secretary (Executive Assistant) to the CEO ... Centrais Elétricas Brasileiras S.A. – ELETROBRÁS: Brazilian National Eletricity Generating ...,Result Not Found,"Centrais Elétricas Brasileiras S.A. - Eletrobras. março de 2009 – o momento 10 anos 1 mês. Rio de Janeiro e Região, Brasil ...",https://http//www.eletrobras.com
Central Puerto S.A.,Jorge Rauber ,https://ar.linkedin.com/in/jorge-rauber-69123046,Nicolas Pablo Macchi ,https://www.linkedin.com/in/nicolas-pablo-macchi-2b5b5857,https://http//www.centralpuerto.com
"CenturyLink, Inc.",Martha Bejar ,https://www.linkedin.com/in/martha-bejar-5223b534,Mike McNamara ,https://www.linkedin.com/in/mike-mcnamara-450ba19,https://http//www.centurylink.com
"Cheniere Energy Partners, LP",Jamie Welch ,https://www.linkedin.com/in/jamie-welch-03408113,Jon Gross ,https://www.linkedin.com/in/jon-gross-5388b629,https://http//www.cheniereenergypartners.com
"Cheniere Energy, Inc.",Nancy Garcia ,https://www.linkedin.com/in/nancy-garcia-785140a5,Lisa Sawyer ,https://www.linkedin.com/in/lisa-sawyer-883b787,https://http//www.cheniere.com
Chesapeake Utilities Corporation,Ron Forsythe ,https://www.linkedin.com/in/ronforsythe,Jack Lewnard ,https://www.linkedin.com/in/jacklewnard,https://http//www.chpk.com
China Mobile (Hong Kong) Ltd.,Marvin Lam ,https://hk.linkedin.com/in/marvin-lam-053b0b76,梁国伟,https://www.linkedin.com/in/%E5%9B%BD%E4%BC%9F-%E6%A2%81-323ab5126,https://http//www.chinamobileltd.com
China Telecom Corp Ltd,Nancy Cai ,https://www.linkedin.com/in/nancycai,Nancy Cai ,https://www.linkedin.com/in/nancycai,https://http//www.chinatelecom-h.com
China Unicom (Hong Kong) Ltd,Top 25 Inverter profiles ,https://www.linkedin.com/pub/dir/Inverter/+,"Youssef El Chami, PMP ",https://www.linkedin.com/in/youssef-el-chami-pmp-81493449,https://http//www.chinaunicom.com.hk
"Chunghwa Telecom Co., Ltd.",Adms Chung ,https://www.linkedin.com/in/admsc,Kuang,https://tw.linkedin.com/in/kuang-yao-chang-b7550421,https://http//www.cht.com.tw
Ciena Corporation,Gary B. Smith ,https://www.linkedin.com/in/garysmithciena,Beth Dolce ,https://www.linkedin.com/in/beth-dolce-17751117,https://http//www.ciena.com
Cincinnati Bell Inc,Leigh Fox ,https://www.linkedin.com/in/leigh-fox-041b179,Christopher Wilson ,https://www.linkedin.com/in/christopher-wilson-657a0b13,https://http//www.cincinnatibell.com
Clean Energy Fuels Corp.,Andrew Littlefair ,https://www.linkedin.com/in/andrew-littlefair-6b058888,Bart Frabotta ,https://www.linkedin.com/in/bartfrabotta,https://www.cleanenergyfuels.com/
"Clearfield, Inc.",Cheri Beranek ,https://www.linkedin.com/in/cheri-beranek-3314277,Mark Del Vecchio ,https://www.linkedin.com/in/mark-del-vecchio-60268b13,https://http//www.seeclearfield.com
"ClearOne, Inc.",Zee Hakimoglu ,https://www.linkedin.com/in/zee-hakimoglu-7112484,Zee Hakimoglu ,https://www.linkedin.com/in/zee-hakimoglu-7112484,https://http//www.clearone.com
"Clearway Energy, Inc.",Christopher Sotos ,https://www.linkedin.com/in/christopher-sotos-4b3b805,Jim Lodge ,https://www.linkedin.com/in/jimlodge,https://http//www.clearwayenergy.com
CMS Energy Corporation,Christopher Helms ,https://www.linkedin.com/in/christopher-helms-68767356,Melissa Gleespen ,https://www.linkedin.com/in/melissa-gleespen-57ba5822,https://http//www.cmsenergy.com
CMS Energy Corporation,Melissa Gleespen ,https://www.linkedin.com/in/melissa-gleespen-57ba5822,Melissa Gleespen ,https://www.linkedin.com/in/melissa-gleespen-57ba5822,N/A
CMS Energy Corporation,Melissa Gleespen ,https://www.linkedin.com/in/melissa-gleespen-57ba5822,Melissa Gleespen ,https://www.linkedin.com/in/melissa-gleespen-57ba5822,N/A
CMS Energy Corporation,Christopher Helms ,https://www.linkedin.com/in/christopher-helms-68767356,Melissa Gleespen ,https://www.linkedin.com/in/melissa-gleespen-57ba5822,N/A
CMS Energy Corporation,Christopher Helms ,https://www.linkedin.com/in/christopher-helms-68767356,Melissa Gleespen ,https://www.linkedin.com/in/melissa-gleespen-57ba5822,N/A
CNX Midstream Partners LP,Brian Rich ,https://www.linkedin.com/in/brian-rich-a1211350,"Everett Good, CPA ",https://www.linkedin.com/in/everett-good-cpa-1b95218,https://http//www.cnxmidstream.com
"Communications Systems, Inc.",Tom Rickert ,https://www.linkedin.com/in/tom-rickert-835a7b3,Richard Deranleau ,https://www.linkedin.com/in/richard-deranleau-b577275,https://http//www.commsystems.com
Comp En De Mn Cemig ADS,Result Not Found,No Results,Result Not Found,No Results,https://http//www.cemig.com.br
Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,Sergio Werneck Filho ,https://br.linkedin.com/in/sergio-werneck-filho,Darcy Brega ,https://br.linkedin.com/in/darcy-brega-420a8128,https://http//www.sabesp.com.br
Companhia Paranaense de Energia (COPEL),Vlademir Daleffe ,https://br.linkedin.com/in/vlademir-daleffe-73b64aa3,Edgar Delfino Júnior ,https://www.linkedin.com/pub/edgar-delfino-j%C3%BAnior/45/a95/440,https://http//www.copel.com
"Connecticut Water Service, Inc.",David Benoit ,https://www.linkedin.com/in/david-benoit-baa25726,Paul Lowry ,https://www.linkedin.com/in/paul-lowry-17587bb,https://http//www.ctwater.com
"Consolidated Communications Holdings, Inc.",Bob Udell ,https://www.linkedin.com/in/bob-udell-a290505,Brian Carr ,https://www.linkedin.com/in/brian-carr-82b94ba,https://www.consolidated.com/
Consolidated Edison Inc,John McAvoy ,https://www.linkedin.com/in/john-mcavoy-019a0224,John McAvoy ,https://www.linkedin.com/in/john-mcavoy-019a0224,https://http//www.conedison.com
Consolidated Water Co. Ltd.,Jeffrey Parker ,https://www.linkedin.com/in/jeffrey-parker-8b94575,Brent Brodie ,https://www.linkedin.com/in/brent-brodie-a3019714,https://http//www.cwco.com
CPFL Energia S.A.,Martin Roberto Glogowsky ,https://br.linkedin.com/in/martinglogowsky,Daniel Antonelli ,https://www.linkedin.com/in/danielantonelli,https://http//www.cpfl.com.br
"DASAN Zhone Solutions, Inc.",Jerry Lee ,https://www.linkedin.com/in/jerry-lee-0937b29a,Blair King ,https://www.linkedin.com/in/blairmking,https://www.dasanzhone.com/
DCP Midstream LP,Michael S. Richards ,https://www.linkedin.com/in/michael-s-richards-5910ba10,Steve Van Hooser ,https://www.linkedin.com/in/steve-van-hooser-1125955,https://http//www.dcpmidstream.com
"Dominion Energy, Inc.",Mark Webb ,https://www.linkedin.com/in/mark-webb-a4764a29,Mark Webb ,https://www.linkedin.com/in/mark-webb-a4764a29,https://http//www.dominionenergy.com
"Dominion Energy, Inc.",Mark Webb ,https://www.linkedin.com/in/mark-webb-a4764a29,Mark Webb ,https://www.linkedin.com/in/mark-webb-a4764a29,N/A
"Dominion Energy, Inc.",Mark Webb ,https://www.linkedin.com/in/mark-webb-a4764a29,Mark Webb ,https://www.linkedin.com/in/mark-webb-a4764a29,N/A
DTE Energy Company,Kevin Johnson ,https://www.linkedin.com/in/kevin-johnson-2b6b5868,Lisa Muschong ,https://www.linkedin.com/in/lisa-muschong-7b98ab134,https://www.newlook.dteenergy.com/
DTE Energy Company,Kevin Johnson ,https://www.linkedin.com/in/kevin-johnson-2b6b5868,Lisa Muschong ,https://www.linkedin.com/in/lisa-muschong-7b98ab134,N/A
DTE Energy Company,Kevin Johnson ,https://www.linkedin.com/in/kevin-johnson-2b6b5868,Lisa Muschong ,https://www.linkedin.com/in/lisa-muschong-7b98ab134,N/A
DTE Energy Company,Kevin Johnson ,https://www.linkedin.com/in/kevin-johnson-2b6b5868,Lisa Muschong ,https://www.linkedin.com/in/lisa-muschong-7b98ab134,https://http//www.directv.com
DTE Energy Company,Kevin Johnson ,https://www.linkedin.com/in/kevin-johnson-2b6b5868,Lisa Muschong ,https://www.linkedin.com/in/lisa-muschong-7b98ab134,N/A
DTE Energy Company,Kevin Johnson ,https://www.linkedin.com/in/kevin-johnson-2b6b5868,Lisa Muschong ,https://www.linkedin.com/in/lisa-muschong-7b98ab134,N/A
Duke Energy Corporation,Lynn Good ,https://www.linkedin.com/in/lynn-good-831b4a112,Melisa Johns ,https://www.linkedin.com/in/melisa-johns-1a5b9523,https://http//www.duke-energy.com
Duke Energy Corporation,Lynn Good ,https://www.linkedin.com/in/lynn-good-831b4a112,Melisa Johns ,https://www.linkedin.com/in/melisa-johns-1a5b9523,N/A
Duke Energy Corporation,Lynn Good ,https://www.linkedin.com/in/lynn-good-831b4a112,Melisa Johns ,https://www.linkedin.com/in/melisa-johns-1a5b9523,N/A
Edison International,Pedro Pizarro ,https://www.linkedin.com/in/pedro-pizarro-087a5287,Oded J Rhone ,https://www.linkedin.com/in/odedjrhone,https://www.edison.com/
El Paso Corporation,Louis Krannich ,https://www.linkedin.com/in/louis-krannich-0251878,Oscar Gonzalez ,https://www.linkedin.com/in/oscar-gonzalez-4b99697,N/A
El Paso Electric Company,David Stevens ,https://www.linkedin.com/in/david-stevens-9704b514,"Victor F. Rueda, SPHR, SHRM",https://www.linkedin.com/in/victofrueda-sphr,https://http//www.epelectric.com
Ellomay Capital Ltd.,Oren Ziv ,https://www.linkedin.com/in/oren-ziv-13b31a1a,Itzik Zion ,https://www.linkedin.com/in/itzik-zion-1412b230,https://http//www.ellomay.com
Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),Nestor Bruno Zapatero ,https://ar.linkedin.com/in/nestor-bruno-zapatero-811699a,Result Not Found,No Results,https://http//www.edenor.com
"Enable Midstream Partners, LP",Jeff Brinlee ,https://www.linkedin.com/in/jeff-brinlee-87b337166,Craig Harris ,https://www.linkedin.com/in/craig-harris-5b077510,https://http//www.enablemidstream.com
Enel Americas S.A.,Aurelio Oliveira ,https://www.linkedin.com/in/aurelio-bustilho-de-oliveira-223a2724/en,Aurelio Oliveira ,https://br.linkedin.com/in/aurelio-bustilho-de-oliveira-223a2724/en,https://http//www.enelamericas.cl
Enel Chile S.A.,Nicolás Billikopf ,https://cl.linkedin.com/in/nicol%C3%A1s-billikopf-677492a,Result Not Found,No Results,https://www.enelchile.cl/
Energy Transfer L.P.,Rob Kerrigan ,https://www.linkedin.com/in/rob-kerrigan-9435a539,"Chuck Frey, P.E. ",https://www.linkedin.com/in/chuck-frey-p-e-7930354b,https://http//www.exacttarget.com
"EnLink Midstream, LLC","Chuck Frey, P.E. ",https://www.linkedin.com/in/chuck-frey-p-e-7930354b,"Chuck Frey, P.E. ",https://www.linkedin.com/in/chuck-frey-p-e-7930354b,https://http//www.enlink.com
"Entergy Arkansas, LLC","Chuck Frey, P.E. ",https://www.linkedin.com/in/chuck-frey-p-e-7930354b,"Chuck Frey, P.E. ",https://www.linkedin.com/in/chuck-frey-p-e-7930354b,N/A
"Entergy Arkansas, LLC",Laura Landreaux ,https://www.linkedin.com/in/laura-landreaux-60234489,Michael Considine ,https://www.linkedin.com/in/michael-considine-a8639012,N/A
"Entergy Arkansas, LLC",Laura Landreaux ,https://www.linkedin.com/in/laura-landreaux-60234489,Michael Considine ,https://www.linkedin.com/in/michael-considine-a8639012,N/A
Entergy Corporation,Leo Denault ,https://www.linkedin.com/in/leo-denault-91807532,Marcus Brown ,https://www.linkedin.com/in/marcus-brown-99072810,https://http//www.entergy.com
"Entergy Louisiana, Inc.",Clifton D. Avant Sr. ,https://www.linkedin.com/in/clifton-d-avant-sr-1b735126,Bill Kinkade ,https://www.linkedin.com/in/bill-kinkade-5600ab15,N/A
"Entergy Louisiana, Inc.",Clifton D. Avant Sr. ,https://www.linkedin.com/in/clifton-d-avant-sr-1b735126,Bill Kinkade ,https://www.linkedin.com/in/bill-kinkade-5600ab15,N/A
"Entergy Louisiana, Inc.",Clifton D. Avant Sr. ,https://www.linkedin.com/in/clifton-d-avant-sr-1b735126,Bill Kinkade ,https://www.linkedin.com/in/bill-kinkade-5600ab15,N/A
"Entergy Mississippi, LLC",Darlene Normand ,https://www.linkedin.com/in/darlene-normand-72780256,Chris Shaw ,https://www.linkedin.com/in/chris-shaw-03ba50a,N/A
"Entergy New Orleans, LLC",David Ellis ,https://www.linkedin.com/in/david-ellis-868b6111,Andrew Marsh ,https://www.linkedin.com/in/andrew-marsh-1a346bb7,N/A
"Entergy New Orleans, LLC",David Ellis ,https://www.linkedin.com/in/david-ellis-868b6111,Andrew Marsh ,https://www.linkedin.com/in/andrew-marsh-1a346bb7,N/A
Entergy Texas Inc,Sallie Rainer ,https://www.linkedin.com/in/sallie-rainer-b3573646,W. Dale Claudel ,https://www.linkedin.com/in/w-dale-claudel-312b223,N/A
Enterprise Products Partners L.P.,Marsha Schiller ,https://www.linkedin.com/in/marsha-schiller-b944a619,Delbert Fore ,https://www.linkedin.com/in/delbert-fore-54838634,https://http//www.enterpriseproducts.com
"EQM Midstream Partners, LP",Michael Wesolowski ,https://www.linkedin.com/in/mweso,David Keith ,https://www.linkedin.com/in/david-keith-04325652/de,https://http//www.eqtmidstreampartners.com
Equitrans Midstream Corporation,David Porges ,https://www.linkedin.com/in/david-porges-b28bb656,Carmine Fantini ,https://www.linkedin.com/in/carmine-fantini-23034a62,https://http//www.equitransmidstream.com
"Estre Ambiental, Inc.",Result Not Found,No Results,Result Not Found,No Results,https://http//www.boulevardacq.com
"Estre Ambiental, Inc.",Result Not Found,No Results,Result Not Found,No Results,https://http//www.boulevardacq.com
"Evergy, Inc.",Lori Wright ,https://www.linkedin.com/in/lori-wright-2314328,Lori Wright ,https://www.linkedin.com/in/lori-wright-2314328,https://http//www.westarenergy.com
