Car Name,Car Price,Car Description,Car Mileage,Car Link,Number of Pictures,Estimated Fair Price,Fair Price Rating
1999 Honda Civic,"$3,500","Up for grabs is both of my cars. 90 db1 and my 99 ek. Both are 5 speed and run great. So many new parts on both of them. To much to type on here. But willing to trade both for a miata, mustang camaro etc. Or sell separate let me know if your interested or what you got.",N/A,https://www.facebook.com/marketplace/item/373363739769289/,0,2222.666666666666666666666667,N/A
2005 Honda Civic DX Sedan 4D,"$2,900",Great car. One owner. Well maintained.  Clean. $2900 firm,"88,500 miles",https://www.facebook.com/marketplace/item/437899666952587/,10,"$3,037",137
2011 Honda Civic,"$4,500","-2011 Honda Civic coupe
-clean title in hand
-2nd owner i use it for work everyday
-no problems at all
-all maintence kept up to date
- fresh oil change and inspection 
- new tires","150,000 miles",https://www.facebook.com/marketplace/item/546865135721414/,2,5710.5,N/A
2007 Nissan Altima,"$2,700",108.000 mileage,"108,000 miles",https://www.facebook.com/marketplace/item/813144449026903/,5,4746.4,N/A
2005 Acura TL 3.2 Sedan 4D,"$4,500","I have a clean Acura TL with 158000 miles have sound  sistem , Acura tl type s calipers ,tint all around,clean title ,no check engine lights on. No trades cash only","158,000 miles",https://www.facebook.com/marketplace/item/1986370464756865/,10,"$5,287",787
2012 Honda Civic,$500,"2012 Honda Civic for sale!
70k Miles! 
Down payments as low as $500 down!
All income and all credit accepted!
Contact for details or with any questions!",N/A,https://www.facebook.com/marketplace/item/468189840384952/,0,7608.8125,N/A
2006 Honda Civic,"$4,600","Call or text 
Se habla español","128,000 miles",https://www.facebook.com/marketplace/item/294337371237724/,9,4070.55,N/A
2002 Honda Civic EX,"$2,900","---- NICE FIND!!! 2 Li I4 WITH 19 DETAILED SERVICE RECORDS CLEAN TITLE (ALL HIGHWAY & SUBURBAN Driving MILEAGE) CAR RUNS PERFECT --- GOLD ON BEIGE (Nice Combo)!!! ----- Interior and Exterior are SUPER CLEAN!!! VEHICLE IS NICELY LOADED; SUNROOF--- ALLOY WHEELS ------- COME TEST DRIVE this CAR

Directautosalespa","145,066 miles",https://www.facebook.com/marketplace/item/836335286707410/,8,N/A,N/A
2010 Honda Civic EX Sedan 4D,"$4,200",Good condiction,"12,900 miles",https://www.facebook.com/marketplace/item/2157831944527556/,5,"$4,887",687
2007 Honda Accord,"$4,200","Very good working condition 07 Honda Accord. Engine and transmission are good. No need nothing to fix. Just drive. Battery still new, I just change it this pass winter, the 2 front tires I bought it 4 months ago brand new and the 2 back tires I bought it about 6 months ago brand new. The tires are still like new. AC work perfectly fine and the heater works great. Heated front seat, sun roof, power windows and power steering, it has small dent on the hood, mileage 115000, contact me at [hidden information]","115,000 miles",https://www.facebook.com/marketplace/item/2240951742631920/,8,5112,N/A
