Car Name,Car Price,Car Description,Car Mileage,Car Link,Number of Pictures,Fair Price Rating
2006 Honda Accord EX Sedan 4D,"$2,800",N/A,"175,000 miles",https://www.facebook.com/marketplace/item/628091410941295/,9,N/A
2010 Toyota Camry,"$2,002",N/A,"108,123 miles",https://www.facebook.com/marketplace/item/300788303872405/,6,N/A
2010 Mazda 6,"$3,500",N/A,"169,000 miles",https://www.facebook.com/marketplace/item/2393487684219893/,10,N/A
2001 Honda Civic LX Sedan 4D,"$3,500",N/A,"91,000 miles",https://www.facebook.com/marketplace/item/318017078854325/,9,N/A
2001 Honda Civic EX Sedan 4D,"$3,700",N/A,"71,000 miles",https://www.facebook.com/marketplace/item/339671489983677/,6,N/A
,"$4,300",N/A,,https://www.facebook.com/marketplace/item/224987855011849/,8,N/A
,,N/A,,https://www.facebook.com/marketplace/item/340299799910477/,10,N/A
,,N/A,,https://www.facebook.com/marketplace/item/197102837846915/,10,N/A
2001 Honda Civic,"$1,200",N/A,"167,000 miles",https://www.facebook.com/marketplace/item/458722924667933/,0,N/A
,"$3,000",N/A,,https://www.facebook.com/marketplace/item/411224276317432/,7,N/A
,,N/A,,https://www.facebook.com/marketplace/item/307632406562027/,9,N/A
,,N/A,,https://www.facebook.com/marketplace/item/1736369556463090/,14,N/A
2006 Acura TL,"$4,100",N/A,"4,100 miles",https://www.facebook.com/marketplace/item/541071916381560/,20,N/A
,"$5,495",N/A,,https://www.facebook.com/marketplace/item/1560063970792227/,10,N/A
,,N/A,,https://www.facebook.com/marketplace/item/1739578526142160/,10,N/A
,,N/A,,https://www.facebook.com/marketplace/item/794170557617147/,11,N/A
2006 Honda Civic EX Sedan 4D,"$2,806",N/A,"152,000 miles",https://www.facebook.com/marketplace/item/398372097301868/,8,N/A
,"$3,050",N/A,,https://www.facebook.com/marketplace/item/255662225337003/,13,N/A
,,N/A,,https://www.facebook.com/marketplace/item/577858949355207/,7,N/A
