Car Name,Car Price,Car Description,Car Mileage,Car Link,Number of Pictures,Estimated Fair Price,Fair Price Rating
2006 Honda Civic EX Sedan 4D,"$4,200",N/A,"4,500 miles",https://www.facebook.com/marketplace/item/247266579483127/,6,"$3,908",-292
2010 Honda Civic LX-S Sedan 4D,"$4,800","Run and drive perfect 
No issues 
Super clean 
No engine light 
Lx -S 
Power window 


Hablo español","114,000 miles",https://www.facebook.com/marketplace/item/2362506853767513/,7,"$4,891",91
2008 Honda Civic,"$5,300","Here for sale is a 2008 Honda Civic LX with 89,400 original miles and a clean title. The Honda Civic is known for its reliability and because of its low miles, this one is just getting started. The interior is clean and comfortable with its grey cloth seating. Carpets and mats are as clean as you'll find them in a car from 2008. As for the drive, you're sure to be impressed. The 4 cylinder engine runs like new and is as quiet as a hybrid. Handling and suspension are absolutely flawless! As for gas mileage, this car gets 45mpg on the highway! Tires are in good condition and you'll have no problem riding this winter out. Contact me anytime this week for a test drive. This one wont be online for long!

Call or text me anytime: (267) 221 SIX990","89,400 miles",https://www.facebook.com/marketplace/item/296109747730090/,10,N/A,N/A
2005 Acura TSX Sedan 4D,"$4,300",2005 Acura TSX. Clean tittle. No accident. With 119.000 miles. New tires. Water pump and timing belt done. Great vehicle drives 100% there’s no mechanical issues. Everything works great. Asking 4300 obo.,"119,000 miles",https://www.facebook.com/marketplace/item/310418129669169/,8,"$5,504",1204
2006 Honda Civic,"$4,600","Call or text 
Se habla español","128,000 miles",https://www.facebook.com/marketplace/item/294337371237724/,9,N/A,N/A
2007 Honda Civic LX Sedan 4D,"$3,700","Car is clean in and out, manual transmission, 4 cylinder, ac, heat, clean title, runs great","136,088 miles",https://www.facebook.com/marketplace/item/2135100166538644/,6,"$4,240",540
2012 Nissan Altima 2.5 S Sedan 4D,"$4,500",Good condición nítido millas 119500 precio 2909 north constitución rd camden nj 08104 856 571 7238,"119,500 miles",https://www.facebook.com/marketplace/item/314445635927661/,7,"$7,401",2901
2008 Subaru Impreza 2.5i Sport Wagon 4D,"$3,600","I am selling this beautiful & sporty 2008 subaru impreza!. Automatic,Runs great, engine & trans in perfect condition, custom rims, new tires,  Ac/Heater, runs fast, beautiful inside & out 84K miles","84,000 miles",https://www.facebook.com/marketplace/item/353520098823818/,9,"$6,029",2429
2007 Nissan Maxima SL Sedan 4D,"$3,500","Car has r title because of the car being keyed and the windows being bussed out....car is in good condition has everything sun roof,heated seats,heated steering wheel,reverse sensor,automatic rear windows,bose speakers,and Bluetooth phone connection","116,000 miles",https://www.facebook.com/marketplace/item/348187375904140/,8,"$5,450",1950
2011 Nissan Altima 2.5 Sedan 4D,"$6,000",Must go 6000 obo,"11,000 miles",https://www.facebook.com/marketplace/item/251343952443214/,4,"$6,795",795
