Car Name,Car Price,Car Description,Car Mileage,Car Link,Number of Pictures
2013 Acura TSX,"$14,805","Drive away with this beautiful 2013 Acura TSX. Down payment between $500-$1,500 and over acceptable. Proof of income (two recent pay stubs and bank statements) are also required. Have bad credit? That’s OK! Have NO credit? That’s OK too! We work with everybody! Contact us via Messenger or call us between 10 AM to 7 PM Monday to Saturday at [hidden information]. Please DO NOT call after business hours.","66,326 miles",https://www.facebook.com/marketplace/item/927763590753823/,9
2007 Dodge Caliber,"$1,995","2007 Dodge Caliber SXT Only 124k, Drives Great Hot Heat, Cold AC, Keyless Entry Radio w 5 Disc MP3 CD, All Power 4 Cylinder Great on Gas Clean Title No Accidents [hidden information] call or text","124,000 miles",https://www.facebook.com/marketplace/item/1991303604323346/,8
2018 Dodge Ram,"$27,997","I have a ton of people inquiring about this truck so I want to make clear that this is the LOWEST PRICED 2018 Ram 1500 (4 door) Truck within 50 miles of our zip code. Every other truck with similar miles is listed between $30,500 and $34,000. We are beating our competition by $3-5k. And if you find something lowed with one owner and no accidents with the same features within that radius we will do whatever we can to beat it. We dont lose over price. Serious inquiries only [hidden information]. Ask for Aaron!","19,000 miles",https://www.facebook.com/marketplace/item/315469809075268/,3
2003 River forest Cherokee,"$4,000","2003 Forest river Cherokee 29Z Good tires patio awning, large slide lot of storage, sleep 9 Queen size walkwalk around bed sofa with sleeper, booth converts to sleeper, night shades, microwave, 3 burner range with oven, refrigerator, everything is ready to go $4000",N/A,https://www.facebook.com/marketplace/item/321359048502864/,20
2002 Nissan Maxima,$500,Best offer car runs great ...Frame rotted won't pass inspection,"99,327 miles",https://www.facebook.com/marketplace/item/583647548724797/,0
2008 Chevrolet Impala,"$5,500",As is . W/o Wheels and tires 4500.00 With wheels and tires 5500.00 and you get the factory set of wheels as well . Go in peace.,"171,449 miles",https://www.facebook.com/marketplace/item/322926461682132/,9
2008 Chevrolet Impala,"$4,999","Serious interest only please... 2008 Chevy Impala 4 door V6 Air conditioning Heat Power locks Power windows 89,000 miles Car is still driven daily and in great condition please message me for more info",N/A,https://www.facebook.com/marketplace/item/543015156212260/,6
2001 Chevrolet Tahoe,"$2,600",Truck runs and drives no problems Will need windshield has crack in it Two tires has slow leak TRUCK IS 2 WHEEL DRIVE!!,"201,500 miles",https://www.facebook.com/marketplace/item/343517559803753/,8
2005 Dodge Neon,"$1,250",N/A,"178,000 miles",https://www.facebook.com/marketplace/item/294771541381937/,3
2008 Toyota Sienna,"$8,000","Clean,perfect engine performance,no transmission issues,true odometer ,no electrical or mechanical issues,very good tire and brakes.Interior is very well maintained clean fabric seats,Radio,cd ,Aux input,player,Heating and Ac works excellent,Clean inside;barely an stains.3rd row seating .AWD drivertrain .I am interested in cash only no trades or install payments .Thank you","113,939 miles",https://www.facebook.com/marketplace/item/1910438599078160/,12
2005 Hyundai Santa Fe,"$2,350",Run and drive perfect Very nice and clean Very reliable and good with gas For more info just call me [hidden information],"214,000 miles",https://www.facebook.com/marketplace/item/2067493720003595/,12
2000 Ford F250 Super Duty Super Cab,"$4,000",F-250 4x4 year 2000 super duty 5.4 V8 miles 19108 1 no inspection sticker need it on this vehicle. Vehicle is white yes some Ross run strong great as woods truck or work truck $4000.00 best offer call my husband John after 2 p.m. on weekdays and 9 a.m. on weekends at 856 357 5704,"19,108 miles",https://www.facebook.com/marketplace/item/315792122611773/,9
2014 Nissan Altima,"$8,499",Very good condition. Low mileage. Clean,"55,050 miles",https://www.facebook.com/marketplace/item/721135811582473/,7
2014 Chevrolet Sonic,"$3,800","Rally Sport Turbo, My Link mobil wifi, navigation, XM radio, aux cable, blooth tooth , heated seats, fog lamps, 19inch factory wheels, valve cover has been replaced. Not trades cash only please","165,621 miles",https://www.facebook.com/marketplace/item/296499094403620/,10
2003 Chevrolet S10 Crew Cab,"$1,200","Cosmetically rough, mechanically sound. I drove this car off the lot new and drove it for 14 years before giving it to my son. Engine is still strong and less than 10,000 miles on rebuilt transmission. $1200 or best offer. Low-ballers will be laughed at!","140,000 miles",https://www.facebook.com/marketplace/item/349090272363068/,3
2000 Nissan Altima,"$1,700","$1,700 or best offer ‼️ - Nissan Altima 2000 gxe 159k miles ‼️",N/A,https://www.facebook.com/marketplace/item/2225070317773623/,6
2005 Mazda RX-8,"$3,000",Run and drive beautiful Very nice and clean Very reliable and good with gas For more information just ask [hidden information],"123,000 miles",https://www.facebook.com/marketplace/item/2353821714651085/,14
2004 Ford Expedition,"$1,999","FOR SALE! 2004 FORD EXPEDITION XLT EDDIE BAUER LIMITED EDITION 4X4 3RD ROW CD CHANGER NAVIGATION NEW WINTER TIRES SUNROOF BEAUTIFUL LEATHER INTERIOR GREAT EXTERIOR ICE COLD AC/HEAT MOTOR IS VERY STRONG INSPECTED UNTIL JULY $1,999.00 SELLING AS IS NO WARRANTY CALL OR TEXT [hidden information]","200,000 miles",https://www.facebook.com/marketplace/item/762559254123205/,6
2014 Ram 1500 Classic Crew Cab,$500,N/A,"90,913 miles",https://www.facebook.com/marketplace/item/355810428482683/,18
2013 Volkswagen Tiguan,"$9,995","Forget how awkward the name is. The Tiguan is a compact SUV from Germany's Volkswagen. We’ve got a little bit crowded for this segment of vehicles where more mainstream rivals like the Honda CR-V, Toyota RAV4 and Ford Escape usually lording over and the Tiguan often gets forgotten. Among the Tiguan's best traits are a flexible interior and a turbocharged engine that's standard across the line. It is also with its polished looks and fun-to-drive nature where the 2013 Tiguan stands out. https://worldautosales.com/listings/2013-volkwagen-tiguan-s-sport-bluetooth-wireless-hill-hold-assist-control-alloy-wheels/","100,475 miles",https://www.facebook.com/marketplace/item/2122588141387575/,6
1994 Honda Civic,"$2,800","For sale only no trades cash only Honda Civic VX EG hatch bubble, 5 speed not to many in this great conditions. Asking 2,800 obo","2,800 miles",https://www.facebook.com/marketplace/item/2202550279998147/,4
2007 BMW X3,"$5,990",2007 BMW X3 3.0 si ROYAL BLUE OVER GREY LEATHER SEATS 5 PEOPLE EVERYTHING WORKS LIKE NEW ON THIS CAR!! DRIVES GREAT!! PRICED TO SELL FAST!!! DON'T WAIT CHECK OUT: WWW.ROUTE73AUTOMALL.COM CHECK US OUT ON FACEBOOK AND INSTAGRAM TOO!! WE ACCEPT TRADES!! WE SHIP NATIONWIDE AND TO CANADA!! CONTACT ME TODAY! [hidden information] [hidden information] *** OVER 30 VANS AND TRUCKS AVAILABLE***,"143,323 miles",https://www.facebook.com/marketplace/item/2139513729678979/,10
1994 Jeep Wrangler,"$3,500","94 wrangler 2.5 5sd pretty new 33in bf Goodrich km2 mt 4 in RC lift hard top full and half doors all rails for soft top marine radio new 31in spare can come with or without high lift farm jack 203,xxx on the clock runs but needs a clutch and plate weld on the frame needs to be rewelded drivers seat has a tear have rear seat as well 6x9 speakers added wired for a sub no sub Installed clean title in hand 1.5 in spacers new ecm Looking to sell but will consider trades of dirtbikes or bass boat depending on condition","203,000 miles",https://www.facebook.com/marketplace/item/747294578963147/,10
1998 Honda Civic,$900,$900 or best offer ‼️‼️‼️ Honda Civic EX 1998 Stick Shift !! 191k miles,N/A,https://www.facebook.com/marketplace/item/249875772570796/,5
2006 Chevrolet Malibu,"$4,500",Excellent running car very good condition no warranty bought as is. Vehicle located at 1806 philadelphia pike Wilmington Delaware Jack Smith's Towing and Service Center,"19,729 miles",https://www.facebook.com/marketplace/item/2190268881049612/,8
2005 Nissan Altima,"$3,400",Nice car from in and out car have power locks mirrors windows car have a fresh oil change and its great on gas heat and AC working fine,"183,000 miles",https://www.facebook.com/marketplace/item/232976530987429/,8
1998 xj,"$2,200","107k miles goes up since i daily it . New power steering lines , blower motor (heat kicks) new headlights , new battery and few other things im probably missing . Only rust is whats showin i. Pics on rockers floors r good . Asking 2200$ no trades unless its a chevy pick up truck . Msg for more info if the post is up its available","107,000 miles",https://www.facebook.com/marketplace/item/2043109309112701/,14
2003 Chevrolet Monte Carlo,"$2,800",Runs Strong / Fast - Great overall condition ... Good Tires & Brakes ... Very Dependable / solid Car - Great in the Snowy Weather w/ FWD !! Come see it ! Call / Text [hidden information],"169,000 miles",https://www.facebook.com/marketplace/item/314878045810896/,13
2006 Honda Civic,"$6,500","I have a beautiful 06 honda civic si with 106,000 miles w/ Clean title in hand. Daily driven so miles are slowly going up. Very clean and well kept vehicle! Only small issue is a small dent and scratch on the back passenger side due to parking (look at pictures). Just did a recent Oil change and maintenance are all up to date. Current inspection are good until 2019! Only mods that are on this vehicle is an aftermarket air intake, and an original carbon fiber hood, Mugen shift knob, and HID headlights! Everything else is bone stock. VERY fun and fast little car to drive, esp when vtec kicks. Msg me today to come take a look at it. [hidden information]. My names Andy. Asking $6500 OBO. Thanks for looking !","106,000 miles",https://www.facebook.com/marketplace/item/251912078808284/,10
