Car Name,Car Price,Car Description,Car Mileage,Car Link,Number of Pictures
2003 Hyundai Santa Fe,$550,N/A,"183,000 miles",https://www.facebook.com/marketplace/item/2216726738589832/,4
2012 Volkswagen Jetta,"$7,995",N/A,"72,500 miles",https://www.facebook.com/marketplace/item/2057352320999780/,15
2011 Honda Pilot,"$4,800",N/A,N/A,https://www.facebook.com/marketplace/item/251172569147702/,7
2008 Kia Rio,"$1,500",N/A,"92,000 miles",https://www.facebook.com/marketplace/item/2435505806520230/,10
2001 Jeep Grand Cherokee,$600,N/A,"199,001 miles",https://www.facebook.com/marketplace/item/306021206784953/,13
2003 Nissan Altima,"$1,000",N/A,"1,000 miles",https://www.facebook.com/marketplace/item/295309471168618/,5
2003 Ford Explorer,"$1,500",N/A,"153,000 miles",https://www.facebook.com/marketplace/item/818110968532770/,13
2002 Ford F350 Super Duty Crew Cab,"$7,000",N/A,"220,000 miles",https://www.facebook.com/marketplace/item/429016807873140/,8
2013 Land Rover Range Rover Evoque,"$20,900",N/A,"81,000 miles",https://www.facebook.com/marketplace/item/2313489232007990/,15
2006 Volkswagen Jetta,"$4,000",N/A,"110,000 miles",https://www.facebook.com/marketplace/item/314185152560222/,5
2006 Honda Odyssey,"$4,900",N/A,"130,000 miles",https://www.facebook.com/marketplace/item/247436632868616/,8
2005 Chevrolet Impala,"$1,800",N/A,"198,861 miles",https://www.facebook.com/marketplace/item/817496128585073/,7
2012 BMW X5,"$9,900",N/A,"125,000 miles",https://www.facebook.com/marketplace/item/612332175883565/,14
2006 Ford F150 SuperCrew Cab,"$7,000",N/A,"243,747 miles",https://www.facebook.com/marketplace/item/477658526102469/,8
2016 Ford Fusion,"$4,000",N/A,"38,000 miles",https://www.facebook.com/marketplace/item/222902915199872/,10
2000 Hyundai Elantra,$560,N/A,"158,000 miles",https://www.facebook.com/marketplace/item/2142514089149068/,2
2015 Ford Fusion,"$8,000",N/A,"37,000 miles",https://www.facebook.com/marketplace/item/2170430126539429/,12
1995 Toyota Corolla,"$2,500",N/A,"146,000 miles",https://www.facebook.com/marketplace/item/407191446719709/,4
1995 Jaguar XJ,$750,N/A,"174,000 miles",https://www.facebook.com/marketplace/item/467584060440699/,4
2000 Ford E150 Passenger,$750,N/A,"200,000 miles",https://www.facebook.com/marketplace/item/2154774804589616/,0
2002 Ford F450 Super Duty Regular Cab & Chassis,"$3,000",N/A,"215,000 miles",https://www.facebook.com/marketplace/item/1198335406985130/,3
2006 Nissan Altima,"$2,100",N/A,"159,000 miles",https://www.facebook.com/marketplace/item/636026443478437/,6
