Car Name,Car Price,Car Description,Car Mileage,Car Link,Number of Pictures,Fair Price Rating
honda Civic,"$3,600",N/A,"3,600 miles",https://www.facebook.com/marketplace/item/269397010626128/,3,N/A
2016 Honda Civic LX Sedan 4D,"$1,100",N/A,"32,589 miles",https://www.facebook.com/marketplace/item/297985740867123/,5,N/A
2007 Honda Civic LX Sedan 4D,"$3,000",N/A,"147,250 miles",https://www.facebook.com/marketplace/item/2310676152539148/,8,N/A
1998 Honda Accord,"$2,500",N/A,"141,000 miles",https://www.facebook.com/marketplace/item/692774534450337/,10,N/A
2006 Honda Accord EX-L Coupe 2D,"$3,000",N/A,"144,000 miles",https://www.facebook.com/marketplace/item/613081059151246/,6,N/A
2004 Honda Civic EX Sedan 4D,"$2,400",N/A,"140,000 miles",https://www.facebook.com/marketplace/item/262937174622711/,6,N/A
2005 Honda Accord 2.4 LX,"$2,899",N/A,"127,000 miles · Dealership",https://www.facebook.com/marketplace/item/2028721300764455/,10,N/A
2004 Acura Tl V6 3.2,"$3,500",N/A,N/A,https://www.facebook.com/marketplace/item/352370938690766/,5,N/A
2014 Chevrolet Cruze 1LT Sedan 4D,"$4,750",N/A,"89,325 miles",https://www.facebook.com/marketplace/item/2307161132637021/,9,N/A
2006 Nissan Maxima SE Sedan 4D,"$2,500",N/A,"136,000 miles",https://www.facebook.com/marketplace/item/600429387036913/,12,N/A
2008 Nissan Altima 2.5 S Sedan 4D,"$3,700",N/A,"160,622 miles",https://www.facebook.com/marketplace/item/324678744850690/,15,N/A
2008 Nissan Altima 2.5 Sedan 4D,"$3,500",N/A,"123,000 miles",https://www.facebook.com/marketplace/item/833463126988256/,11,N/A
2008 Honda Civic EX Sedan 4D,"$3,650",N/A,"204,000 miles",https://www.facebook.com/marketplace/item/381354135751123/,3,N/A
2009 Chevrolet Malibu LT2,"$3,000",N/A,"153,082 miles · Dealership",https://www.facebook.com/marketplace/item/148667292720662/,18,N/A
2011 Honda Civic LX Sedan 4D,"$4,200",N/A,"110,087 miles",https://www.facebook.com/marketplace/item/601289580310692/,8,N/A
2006 Ford Fusion,"$2,450",N/A,"134,000 miles",https://www.facebook.com/marketplace/item/260310931555594/,11,N/A
2008 Nissan Altima 3.5 SE Coupe 2D,"$3,700",N/A,"173,000 miles",https://www.facebook.com/marketplace/item/1244097692425736/,5,N/A
2008 Nissan Altima 2.5 S Sedan 4D,"$3,500",N/A,"125,000 miles",https://www.facebook.com/marketplace/item/2036262899826614/,12,N/A
2004 Honda Accord LX Sedan 4D,"$3,900",N/A,"81,000 miles",https://www.facebook.com/marketplace/item/365571574038988/,12,N/A
2015 Honda Civic EX Sedan 4D,"$8,600",N/A,"64,258 miles",https://www.facebook.com/marketplace/item/312555396113089/,11,N/A
2009 Acura TSX,"$5,625",N/A,"134,000 miles",https://www.facebook.com/marketplace/item/246579339540281/,5,N/A
