Car Name,Car Price,Car Description,Car Mileage,Car Link,Number of Pictures,Fair Price Rating
2017 Nissan Maxima SV (2017.5) Sedan 4D,"$1,500",N/A,"34,000 miles",https://www.facebook.com/marketplace/item/338670710072438/,4,N/A
2009 Honda Accord EX-L Sedan 4D,"$5,200",N/A,"127,160 miles",https://www.facebook.com/marketplace/item/388890661923093/,5,N/A
2009 Honda Civic,$489,N/A,"130,210 miles",https://www.facebook.com/marketplace/item/374408856724310/,15,N/A
2013 Nissan Altima 2.5 S,"$5,750",N/A,"103,957 miles · Dealership",https://www.facebook.com/marketplace/item/267928513897792/,20,N/A
2011 Honda Accord EX-L Sedan 4D,"$6,900",N/A,"86,000 miles",https://www.facebook.com/marketplace/item/345709329368473/,15,N/A
2008 Honda Civic LX Sedan 4D,"$4,800",N/A,"169,000 miles",https://www.facebook.com/marketplace/item/243371949876621/,11,N/A
2005 Mazda MAZDA3 s Sedan 4D,"$3,500",N/A,"99,597 miles",https://www.facebook.com/marketplace/item/540174839804237/,6,N/A
2007 Toyota Camry SE Sedan 4D,"$5,000",N/A,"88,035 miles",https://www.facebook.com/marketplace/item/301630550524709/,8,N/A
2010 Honda Accord,Contact Seller,N/A,"12,862 miles",https://www.facebook.com/marketplace/item/420439358707162/,5,N/A
2009 Honda Civic,"$3,999",N/A,"158,082 miles · Dealership",https://www.facebook.com/marketplace/item/2207378819519493/,20,N/A
