Car Name,Car Price,Car Description,Car Mileage,Car Link,Number of Pictures
,0,,N/A,,0
,0,,N/A,,0
2008 Nissan Altima 2.5 Sedan 4D,"$3,000","Clean car and fully loaded including leather seats, sun roof, power locks and windows  ","Driven 169,000 miles",https://www.facebook.com/marketplace/item/1109063346296370?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7260610121532180017%22%2C%22mf_story_key%22%3A%224548787178502716%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4548787178502716%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A1%2C%5C%22ranking_signature%5C%22%3A7057804935861108736%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00042506324481736%7D%22%7D,7
2012 Hyundai Sonata Limited Sedan 4D,"$6,500",This is a perfect running and driving 2012 sonata 2.0 turbo limited automatic CLEAN TITLE NO ACCIDENTS 2 owner all service records new brakes and alternator and battery new tires 6 months ago fully loaded with black leather 2 sunroofs all seats are heated 28 mpg it was just inspected at pepboys so good for a whole year 6500 firm  See less,"Driven 154,000 miles",https://www.facebook.com/marketplace/item/461042302083955/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7260610121532180017%22%2C%22mf_story_key%22%3A%224925418837477254%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4925418837477254%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A2%2C%5C%22ranking_signature%5C%22%3A1166654087010189312%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00057320266235929%7D%22%7D,8
2011 Honda Accord EX Coupe 2D,"$8,900","Selling a 2011 Honda Accord
R-title 
5 speed manual 
85000 miles
No rust  
No issues
Inspection up to date 
Maintenance up to date
Runs and drives perfect 
Have carfax if needed
Dm me for more info if interested See less","Driven 85,000 miles",https://www.facebook.com/marketplace/item/425220102644056?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7260610121532180017%22%2C%22mf_story_key%22%3A%224651543538201232%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4651543538201232%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A3%2C%5C%22ranking_signature%5C%22%3A7057804935861108736%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00059513043413083%7D%22%7D,13
2002 Honda trx 450 4x4 electric shift foreman,"$3,750","Electric Start. Runs great, utility vehicle. recently serviced. 609 miles. Color Green. Purchased new. One owner. Serious inquiries only. If it is listed for sale, it is available. Cash or Venmo. Great Christmas gift. See less",Exterior color: Green · Interior color: Black,https://www.facebook.com/marketplace/item/315220883626973/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7260610121532180017%22%2C%22mf_story_key%22%3A%227141331812558678%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7141331812558678%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A4%2C%5C%22ranking_signature%5C%22%3A4724960407855300608%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00045392813395108%7D%22%7D,6
,0,,N/A,,0
,0,,N/A,,0
2012 Chrysler 200,"$3,095",Runs good ,"Driven 160,000 miles",https://www.facebook.com/marketplace/item/408341294254602?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7260610121532180017%22%2C%22mf_story_key%22%3A%224598685400189960%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4598685400189960%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A6%2C%5C%22ranking_signature%5C%22%3A4150413054892310528%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00057319966235929%7D%22%7D,7
,0,,N/A,,0
