Car Name,Car Price,Car Description,Car Mileage,Car Link,Number of Pictures,Estimated Fair Price,Fair Price Rating
2002 Honda Civic EX Sedan 4D,"$4,500",N/A,"254,000 miles",https://www.facebook.com/marketplace/item/390233468427054/,10,"$2,487",-2013
2013 Nissan Altima 2.5 SL Sedan 4D,"$6,100",N/A,"99,000 km",https://www.facebook.com/marketplace/item/1007422152790530/,13,"$9,047",2947
2010 Acura TSX Sedan 4D,"$7,500",N/A,"116,000 miles",https://www.facebook.com/marketplace/item/338439956794989/,4,"$8,572",1072
"2011 Ford Fiesta 165,000 miles, New Transmission","$3,500",N/A,"165,000 miles",https://www.facebook.com/marketplace/item/2005253136444718/,18,"$4,488",988
2007 Honda Civic EX Sedan 4D,"$6,800",N/A,"116,000 miles",https://www.facebook.com/marketplace/item/1176263872551903/,7,"$4,240",-2560
,"$5,900",N/A,,https://www.facebook.com/marketplace/item/312403216130119/,12,3594,N/A
,,N/A,,https://www.facebook.com/marketplace/item/584516682018009/,8,3670,N/A
,,N/A,,https://www.facebook.com/marketplace/item/402099367224589/,20,"$7,261",N/A
2005 Honda Civic LX,"$5,776",N/A,"78,503 miles · Dealership",https://www.facebook.com/marketplace/item/2301960936700720/,20,N/A,N/A
,"$4,995",N/A,"121,000 miles · Dealership",https://www.facebook.com/marketplace/item/937027216499025/,20,"$3,921",-1074
,,N/A,,https://www.facebook.com/marketplace/item/2012206905553928/,9,"$4,079",N/A
,,N/A,,https://www.facebook.com/marketplace/item/264705907782422/,20,"$11,259",N/A
2007 Honda Civic EX,"$5,499",N/A,"111,000 miles · Dealership",https://www.facebook.com/marketplace/item/2150179688366539/,20,"$8,689",3190
,"$5,800",N/A,"112,839 miles · Dealership",https://www.facebook.com/marketplace/item/2220756518243068/,20,6162,N/A
,,N/A,,https://www.facebook.com/marketplace/item/2367194936633730/,9,N/A,N/A
,,N/A,,https://www.facebook.com/marketplace/item/413492099195675/,4,N/A,N/A
2011 Hyundai Sonata GLS Sedan 4D,"$5,500",N/A,"64,000 miles",https://www.facebook.com/marketplace/item/507783619748181/,11,N/A,N/A
,"$4,999","This vehicle is for sale by Route 38 Auto Center.

Route 38 Auto Center","148,248 miles · Dealership",https://www.facebook.com/marketplace/item/1163466437161219/,12,N/A,N/A
